metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,83.42347347670714,32.97369718676753,1.2844728766351166,78.99130374361157,36.00158941409462,1.4024228116195594,83.31290248921087,33.02040336180222,1.2862922908992684,85.4346037218513,31.155017465332392,1.2136271731570363,82.7905708578452,KFextract
exact_match,1.3657056145675266,11.61508196693488,0.45245935455514125,1.669195751138088,12.821185727363293,0.49944248653160694,0.0,0.0,0.0,0.15174506828528073,3.895446935658099,0.15174506828528075,0.7966616084977238,KFextract
strict_exact_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KFextract
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,RAG
,,,,,,,,,,,,,,RAG
