task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,100.0,62.83783783783784,57.20720720720721,51.80180180182432,60.450450450459456
CK,exact_match,100.0,62.83783783783784,57.20720720720721,51.35135135135135,60.27027027027027
PK,f1,100.0,63.51351351351351,43.69369369369369,45.27027027027027,53.918918918918926
PK,exact_match,100.0,63.51351351351351,43.69369369369369,45.27027027027027,53.918918918918926
PCK,f1,100.0,69.44444444539988,57.85185185306651,58.72222222376647,64.73333333450651
PCK,exact_match,100.0,50.0,33.33333333333333,27.666666666666668,41.06666666666667
RAG,f1,100.0,76.384615385846,68.27350427517929,67.23076923265361,72.65128205278444
RAG,exact_match,100.0,50.76923076923077,33.84615384615385,28.46153846153846,41.692307692307686
