task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,100.0,87.5,80.83333333333333,79.375,83.5
CK,exact_match,100.0,87.5,79.16666666666666,78.125,82.5
PK,f1,100.0,53.125,35.41666666666667,27.8125,42.37499999999999
PK,exact_match,100.0,50.0,33.33333333333333,25.0,40.0
PCK,f1,100.0,79.16666666812498,72.22222222416663,66.66666666874997,74.1666666683751
PCK,exact_match,100.0,50.0,33.33333333333333,25.0,40.0
RAG,f1,100.0,76.66666666800002,73.33333333533332,65.00000000199998,73.33333333500002
RAG,exact_match,100.0,50.0,33.33333333333333,25.0,40.0
