task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,71.11111111114286,50.31746031747619,50.05291005292063,46.920634920666664,50.958730158752395
CK,exact_match,70.47619047619048,50.0,49.84126984126984,46.19047619047619,50.476190476190474
PK,f1,70.47619047619048,45.23809523809524,31.428571428571427,35.63492063492857,39.777777777780955
PK,exact_match,70.47619047619048,45.23809523809524,31.428571428571427,35.476190476190474,39.714285714285715
PCK,f1,71.42857142857143,55.00000000095226,48.51851851974588,50.59523809676172,52.936507937676346
PCK,exact_match,71.42857142857143,35.714285714285715,23.809523809523807,20.0,29.428571428571427
RAG,f1,63.17460317466666,54.50793650904748,51.68253968403156,52.888888890595034,53.87936508072399
RAG,exact_match,61.904761904761905,31.428571428571427,20.952380952380953,17.857142857142858,25.9047619047619
